,Adress,Område,Pris,Antal rum,Boarea,Balkong,Uteplats,Våning,Har hiss,Byggår,Förening,Avgift,Driftkostnad,Pris/m2,Prisindex,Storleksindex,Funktionsindex,Totalindex,Länk
138,Hasselstigen 6,"Solna, Solna kommun",2495000,1.0,43.0,Nej,Nej,?,False,,BRF Tallen 2000,2003,-1,58023,2895.6,5350.0,4000,12245.6,https://www.hemnet.se/bostad/lagenhet-1rum-solna-solna-kommun-hasselstigen-6-19050815
194,Björketorpsvägen 13,"Norra Ängby Björketorp, Stockholms kommun",1800000,1.0,28.0,Nej,Nej,"2 av 5, hiss finns",True,,BRF Långskeppet,1850,3600,64286,2170.0,6100.0,4000,12270.0,https://www.hemnet.se/bostad/lagenhet-1rum-norra-angby-bjorketorp-stockholms-kommun-bjorketorpsvagen-13-18922335
135,Knektvägen 15,"Enskede \ Gubbängen, Stockholms kommun",1895000,1.0,28.5,Nej,Nej,"1 av 6, hiss finns",True,,BRF Stockholmshus nr 11,1754,4531,66491,2245.8,6075.0,4000,12320.8,https://www.hemnet.se/bostad/lagenhet-1rum-enskede-gubbangen-stockholms-kommun-knektvagen-15-18924855
9,Follingbogatan 18,"Bromma - Beckomberga, Stockholms kommun",1470000,1.0,23.5,Nej,Nej,?,False,,Riksbyggen BRF Klockhuset i Beckomberga,2636,-1,62553,1997.2,6325.0,4000,12322.2,https://www.hemnet.se/bostad/lagenhet-1rum-bromma-beckomberga-stockholms-kommun-follingbogatan-18-19095138
191,Bällstavägen 201,"Bromma Kyrka, Stockholms kommun",1800000,1.0,27.0,Nej,Nej,"1 av 3, hiss finns ej",False,,BRF Julottan 3,1926,-1,66667,2185.2,6150.0,4000,12335.2,https://www.hemnet.se/bostad/lagenhet-1rum-bromma-kyrka-stockholms-kommun-ballstavagen-201-18556395
198,Elias lönnrots väg 11D,Stockholms kommun,2195000,1.0,36.0,Nej,Nej,?,False,,BRF Tavasten 1,2430,4392,60972,2681.0,5700.0,4000,12381.0,https://www.hemnet.se/bostad/lagenhet-1rum-stockholms-kommun-elias-lonnrots-vag-11d-18994951
10,Barrstigen 24,"Bromma - Ulvsunda, Stockholms kommun",1995000,1.0,26.0,Nej,Nej,"1, hiss finns ej",False,,BRF Lillsjönäs 2228,932,4200,76731,2181.4,6200.0,4000,12381.4,https://www.hemnet.se/bostad/lagenhet-1rum-bromma-ulvsunda-stockholms-kommun-barrstigen-24-19095219
63,Kavaljersbacken 6B,"Ör, Sundbybergs kommun",1795000,1.0,22.0,Nej,Nej,?,False,,BRF Kavaljersbacken,1017,-1,81591,1998.4,6400.0,4000,12398.4,https://www.hemnet.se/bostad/lagenhet-1rum-or-sundbybergs-kommun-kavaljersbacken-6b-18712433
228,Galonvägen 26,"Bromma-Riksby, Stockholms kommun",1495000,1.0,15.0,Nej,Nej,2 av 3,False,,BRF Norrby,782,-1,99667,1651.4,6750.0,4000,12401.4,https://www.hemnet.se/bostad/lagenhet-1rum-bromma-riksby-stockholms-kommun-galonvagen-26-19046976
39,"Frimärksvägen 5, vån 1","Enskede, Stockholms kommun",1950000,1.0,32.0,Nej,Nej,"1, hiss finns",True,,BRF Brevlådan 2,2781,-1,60938,2506.2,5900.0,4000,12406.2,"https://www.hemnet.se/bostad/lagenhet-1rum-enskede-stockholms-kommun-frimarksvagen-5,-van-1-19062098"
